SMILES,label
CC1(C)CC(/C=C/c2ccc3ccc4cccc5ccc2c3c45)=[N+]([O-])C1OCCCO,1
CCOc1ccccc1-n1c(C(C)N2CCN(C(=O)COc3ccc(Cl)cc3)CC2)nc2ccccc2c1=O,1
COC(=O)[C@]12CC[C@@H](C)[C@H](C)[C@H]1C1=CC(=O)[C@@H]3[C@@]4(C)C(C=O)=C[C@@](C)(COS(C)(=O)=O)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,1
COc1cc(-c2cc3ccccc3[nH]2)[nH]c1/C=C1\N=C(C)C=C1C,1
COc1ccc(N(C(=O)CCl)C(C(=O)NCCc2ccccc2)c2cccs2)cc1Cl,1
COc1ccc(O)c(C(=O)NCCc2ccc(-c3cnc(C)s3)cc2)c1,1
COc1ncnc2c1c1c(ccn1C)n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1
Cc1ccc(S(=O)(=O)Cc2nc(-c3ccc(C(=O)NCc4cccnc4)cc3)oc2C)cc1,1
Cc1ncnc2c1c1c(ccn1C)n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1
Cc1ncnc2c1c1occc1n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1
Cn1ccc2c1c1c(Cl)ncnc1n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1
Cn1ccc2c3c(-c4ccco4)ncnc3n([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c21,1
O=C(Cc1ccccc1)Nc1ccc(-c2nc3cc(NC(=O)Cc4ccccc4)ccc3[nH]2)cc1,1
OC[C@H]1O[C@@H](n2c3ccoc3c3c(-c4ccoc4)ncnc32)[C@H](O)[C@@H]1O,1
C=C(C)[C@@H]1CC[C@]2(C(=O)OCCN3CCCC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0
C=C(C)[C@@H]1CC[C@]2(C(=O)OCCN3CCCCC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0
C=C(C)[C@@H]1CC[C@]2(C(=O)OCCOC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0
C=C(C=O)[C@@H]1CC[C@]2(C(=O)OCCN3CCOCC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0
CC(=O)OC[C@@]1(C(=O)OCCN2CCCC2)CC[C@]2(C)[C@H](CC[C@@H]3[C@@]4(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]4CC[C@]32C)[C@@H]1O,0
CC(=O)OC[C@H]1O[C@@H](OC(=O)[C@@]23CC[C@]4(C)[C@H](CC[C@@H]5[C@@]6(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]6CC[C@]54C)C2=C(C(C)C)C(=O)C3)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,0
CC(=O)OC[C@H]1O[C@@H](OC(=O)[C@]2(COC(C)=O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,0
CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4C[C@@H](Nc5nc6ccccc6[nH]5)[C@@H](C(C)=O)[C@@]4(C)CC[C@@H]32)C1,0
CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4Cc5c(c(C)nc6nc7ccc(Cl)cc7n56)[C@@]4(C)CC[C@@H]32)C1,0
