SMILES,label
C=C1C(=O)O[C@H]2[C@H]1[C@@H](OC(=O)/C(C)=C\C)C[C@@](C)(O)[C@@H]1CC=C(C)[C@H]21,1
C=C1C(=O)[C@@]23[C@@H](CC[C@H]1[C@H]2O)[C@]12CCCC(C)(C)[C@H]1[C@H](O)[C@@]3(O)OC2,1
CC(C)(C)c1ccc(Cn2ccc3c(/C=C4\CC[C@@H]5[C@H]6CCCN7CCC[C@@H](CN5C4=O)[C@@H]67)cccc32)cc1,1
CCCCn1cc(CN2C[C@H]3CCCN4CCC[C@@H]([C@H]34)[C@H]2CCCC(=O)OC)c2ccccc21,1
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,1
COC(=O)CCC[C@@H]1[C@H]2CCCN3CCC[C@H](CN1Cc1cn(Cc4c(Cl)cccc4Cl)c4ccc(F)cc14)[C@@H]23,1
COC(=O)CCC[C@@H]1[C@H]2CCCN3CCC[C@H](CN1Cc1cn(Cc4c(Cl)cccc4Cl)c4ccccc14)[C@@H]23,1
COC(=O)CCC[C@@H]1[C@H]2CCCN3CCC[C@H](CN1Cc1cn(Cc4ccc(Br)cc4)c4ccccc14)[C@@H]23,1
COC(=O)CCC[C@@H]1[C@H]2CCCN3CCC[C@H](CN1Cc1cn(Cc4ccc(C(F)(F)F)cc4)c4ccc(F)cc14)[C@@H]23,1
COC(=O)CCC[C@@H]1[C@H]2CCCN3CCC[C@H](CN1Cc1cn(Cc4ccc(C(F)(F)F)cc4)c4ccccc14)[C@@H]23,1
COC(=O)CCC[C@@H]1[C@H]2CCCN3CCC[C@H](CN1Cc1cn(Cc4ccc(Cl)cc4)c4ccc(F)cc14)[C@@H]23,1
COC(=O)CCC[C@@H]1[C@H]2CCCN3CCC[C@H](CN1Cc1cn(Cc4ccc(Cl)cc4)c4ccccc14)[C@@H]23,1
COC(=O)CCC[C@@H]1[C@H]2CCCN3CCC[C@H](CN1Cc1cn(Cc4ccc(F)cc4)c4ccccc14)[C@@H]23,1
COC(=O)CCC[C@@H]1[C@H]2CCCN3CCC[C@H](CN1Cc1cn(Cc4ccc5ccccc5c4)c4ccccc14)[C@@H]23,1
COC(=O)CCC[C@@H]1[C@H]2CCCN3CCC[C@H](CN1Cc1cn(Cc4ccccc4)c4ccccc14)[C@@H]23,1
COc1cc(Cn2cccc2/C=C2\CC[C@@H]3[C@H]4CCCN5CCC[C@@H](CN3C2=O)[C@@H]45)cc(OC)c1OC,1
COc1ccc(Cn2cc(/C=C3\CC[C@@H]4[C@H]5CCCN6CCC[C@@H](CN4C3=O)[C@@H]56)c3ccccc32)cc1,1
COc1ccc(Cn2cccc2/C=C2\CC[C@@H]3[C@H]4CCCN5CCC[C@@H](CN3C2=O)[C@@H]45)cc1OC,1
COc1ccc2c(/C=C3\CC[C@@H]4[C@H]5CCCN6CCC[C@@H](CN4C3=O)[C@@H]56)cn(Cc3ccc4ccccc4c3)c2c1,1
COc1ccc2c(c1)c(/C=C1\CC[C@@H]3[C@H]4CCCN5CCC[C@@H](CN3C1=O)[C@@H]45)cn2Cc1ccc(Cl)cc1,1
COc1ccc2c(c1)c(/C=C1\CC[C@@H]3[C@H]4CCCN5CCC[C@@H](CN3C1=O)[C@@H]45)cn2Cc1cccc(Cl)c1,1
COc1ccc2c(c1)c(/C=C1\CC[C@@H]3[C@H]4CCCN5CCC[C@H](CN3C1=O)[C@@H]45)cn2Cc1ccc(OCc2ccccc2)cc1,1
COc1cccc(Cn2cc(/C=C3\CC[C@@H]4[C@H]5CCCN6CCC[C@@H](CN4C3=O)[C@@H]56)c3ccccc32)c1,1
COc1cccc(Cn2cccc2/C=C2\CC[C@@H]3[C@H]4CCCN5CCC[C@@H](CN3C2=O)[C@@H]45)c1,1
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,1
c1cnc2ccc(Nc3nc(NC4CC4)c4nc[nH]c4n3)cc2c1,1
C[C@@H]1C[C@H](C)[C@@H](O)CC(=O)O[C@@H]([C@@H]2CCC[C@H]2C(=O)O)C/C=C/C=C(/C#N)[C@@H](O)[C@@H](C)C[C@H](C)C1,1
C[C@@H]1C[C@H](C)[C@@H](O)CC(=O)O[C@@H]([C@@H]2CCC[C@H]2C(=O)O)C/C=C\C=C(/C#N)[C@@H](O)[C@@H](C)C[C@H](C)C1,1
Cc1ccc(Cn2cc(/C=C3\CC[C@@H]4[C@H]5CCCN6CCC[C@@H](CN4C3=O)[C@@H]56)c3ccccc32)cc1,1
Cc1ccc2c(c1)c(/C=C1\CC[C@@H]3[C@H]4CCCN5CCC[C@@H](CN3C1=O)[C@@H]45)cn2Cc1ccc2ccccc2c1,1
Cc1cccc(Cn2cc(/C=C3\CC[C@@H]4[C@H]5CCCN6CCC[C@@H](CN4C3=O)[C@@H]56)c3ccccc32)c1,1
O=C1/C(=C/c2cccc3c2ccn3Cc2cccc(Cl)c2)CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,1
O=C1/C(=C/c2cn(Cc3ccc(OC(F)(F)F)cc3)c3ccc(Br)cc23)CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,1
O=C1/C(=C/c2cn(Cc3ccc4ccccc4c3)c3ccccc23)CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,1
O=C1/C(=C/c2cn(Cc3cccc(Cl)c3)c3ccc(Br)cc23)CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,1
O=C1/C(=C/c2cn(Cc3cccc(Cl)c3)c3ccccc23)CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,1
OCCCC[C@@H]1[C@H]2CCCN3CCC[C@H](CN1Cc1cn(Cc4ccc(Br)cc4)c4ccccc14)[C@@H]23,1
OCCCC[C@@H]1[C@H]2CCCN3CCC[C@H](CN1Cc1cn(Cc4ccccc4)c4ccccc14)[C@@H]23,1
CCn1cc(CN2C[C@H]3CCCN4CCC[C@@H]([C@H]34)[C@H]2CCCC(=O)OC)c2ccccc21,0
COC(=O)CCC[C@@H]1[C@H]2CCCN3CCC[C@H](CN1Cc1c(C(=O)OC)[nH]c4ccccc14)[C@@H]23,0
COC(=O)CCC[C@@H]1[C@H]2CCCN3CCC[C@H](CN1Cc1c[nH]c4cc(F)ccc14)[C@@H]23,0
COC(=O)CCC[C@@H]1[C@H]2CCCN3CCC[C@H](CN1Cc1c[nH]c4ccc(C#N)cc14)[C@@H]23,0
COC(=O)CCC[C@@H]1[C@H]2CCCN3CCC[C@H](CN1Cc1c[nH]c4ccc(C)cc14)[C@@H]23,0
COC(=O)CCC[C@@H]1[C@H]2CCCN3CCC[C@H](CN1Cc1c[nH]c4ccc(Cl)cc14)[C@@H]23,0
COC(=O)CCC[C@@H]1[C@H]2CCCN3CCC[C@H](CN1Cc1c[nH]c4ccccc14)[C@@H]23,0
COC(=O)CCC[C@@H]1[C@H]2CCCN3CCC[C@H](CN1Cc1cn(C)c4ccccc14)[C@@H]23,0
COC(=O)CCC[C@@H]1[C@H]2CCCN3CCC[C@H](CN1Cc1cn(Cc4cccc(F)c4)c4ccccc14)[C@@H]23,0
COC(=O)CCC[C@@H]1[C@H]2CCCN3CCC[C@H](CN1Cc1cn(Cc4ccccc4F)c4ccccc14)[C@@H]23,0
COc1cc(Cn2cc(/C=C3\CC[C@@H]4[C@H]5CCCN6CCC[C@@H](CN4C3=O)[C@@H]56)c3ccccc32)cc(OC)c1OC,0
COc1ccc(Br)c(Cn2cccc2/C=C2\CC[C@@H]3[C@H]4CCCN5CCC[C@@H](CN3C2=O)[C@@H]45)c1,0
