SMILES,label
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,1
C=C(C)[C@@H]1CC[C@]2(/C=N/OC(=O)CC(C)(C)CC(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC/C(=N\OC(=O)CC(C)(C)CC(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1
C=C(C)[C@@H]1CC[C@]2(C(=O)NCCCCCCCC(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)CC(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)COCC(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1
C=C(C)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1
C=C(C)[C@@H]1CC[C@]2(CN)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](N)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1
C=C(C)[C@@H]1CC[C@]2(CNC(=O)CC3(CC(=O)O)CCCC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](NC(=O)CC6(CC(=O)O)CCCC6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1
