SMILES,label
Brc1ccc(-c2c[nH]nn2)cc1,1
Brc1cccc(CNc2ncc3c(n2)-c2cccnc2SC3)c1,1
C/C(=C1/C(=O)N(CCCN(C)C)c2ccc(F)cc21)c1ccc[nH]1,1
C/C(=C\c1csc(C)n1)[C@@H]1CC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)CCCC[C@H]2O[C@H]2C1,1
C/C1=C/C(=O)O[C@@H]2C[C@@H](CC[C@H](C)/C=C\CC1)O[C@@](O)([C@@H]1CSC(=O)N1)C2,1
C/C=C/c1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,1
C/C=C1\CC[C@H]2[C@@H]3CCc4cc(NC=O)c(OC)cc4[C@H]3CC[C@]12C,1
C=C(/C=C\C)C(=O)O[C@H]1[C@H]2[C@](C)(C(=O)[C@H](OC(C)=O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C[C@]1(O)C3(C)C)[C@@H](OC(=O)CCCNC(=O)[C@@]1(C)CC[C@]3(C)CC[C@]4(C)C(=CC(=O)[C@@H]5[C@@]6(C)CC[C@H](O)C(C)(C)[C@@H]6CC[C@]54C)[C@@H]3C1)C[C@H]1OC[C@]12OC(C)=O,1
C=C([C@H]1[C@H](OC)[C@H](OC(=O)N[C@@H](C(N)=O)C(C)C)CC[C@]1(O)CCl)[C@H](O)CC=C(C)C,1
C=C(c1cc(C)nc(C)c1)c1ccc2c(ccn2C)c1,1
C=C(c1ccc(OC)c(O)c1)c1cc(OC)c(OC)c(OC)c1,1
C=C(c1ccc2c(c1)c1ccccc1n2C)c1cc(C)nc2ccccc12,1
C=C(c1ccc2c(ccn2C)c1)c1cc(C#N)nc2ccccc12,1
C=C1C(=O)C[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C1/CCOC1=O,1
C=C1C(=O)C[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C1\CCOC1=O,1
C=C1CC[C@H]2[C@@H]3CCc4cc(C(N)=O)c(OC)cc4[C@H]3CC[C@]12C,1
C=C1CC[C@H]2[C@@H]3CCc4cc(N)c(OC)cc4[C@H]3CC[C@]12C,1
C=C1CC[C@H]2[C@@H]3CCc4cc(NC=O)c(OC)cc4[C@H]3CC[C@]12C,1
C=C1CC[C@H]2[C@@H]3CCc4cc(O)c(OC)cc4[C@H]3CC[C@]12C,1
C=C1CC[C@H]2[C@@H]3CCc4cc(O)c(OCC)cc4[C@H]3CC[C@]12C,1
C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]23OC(=O)/C=C/[C@@H](O)CCC[C@@H](C)C/C=C/[C@H]3[C@@H]1O,1
C=C1[C@@H](O[Si](C)(C)C(C)(C)C)C[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C[C@@H](O)c1ccoc1,1
C=CCc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,1
C=C[C@@]1(C)C=C2C(=O)C(=O)C3[C@](C)(C(=O)O)CC[C@@H]4C[C@]34[C@]2(O)C(=O)C1,1
C=C[C@]1(C)CC[C@@H](C(=C)COC(=O)/C=C/C(=O)OCC(=C)[C@@H]2CC[C@@](C)(C=C)[C@H](C(=C)C)C2)C[C@H]1C(=C)C,1
C=Cc1cc2c(cc1OC)[C@H]1CC[C@]3(C)[C@@H](O)CC[C@H]3[C@@H]1CC2,1
CC#Cc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,1
CC#Cc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,1
CC(=O)Cc1c(C)c(O)c2c(c1O)C(=O)CCC2O,1
CC(=O)Cc1cc(=O)c2c(O)c3c(O)cc(O)c(-c4c(O)cc(O)c5c(O)c6c(=O)cc(C)oc6cc45)c3cc2o1,1
CC(=O)Cc1cc(=O)c2c(O)c3c(O)cc(O)c(-c4c(O)cc(O)c5c(O)c6c(=O)cc(CC(C)O)oc6cc45)c3cc2o1,1
CC(=O)O[C@@H]1C=CC(=O)[C@@]2(CC(=O)O[C@@H]2/C=C(\C)CCC=C(C)C)C1,1
CC(=O)O[C@@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C(=O)C=C2[C@@H]4[C@@H](C)[C@H](C)CC[C@]4(C)CC[C@]23C)[C@@]1(C)C(=O)N(C)CCN(C)C,1
CC(=O)O[C@@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C(=O)C=C2[C@@H]4[C@@H](C)[C@H](C)CC[C@]4(C)CC[C@]23C)[C@@]1(C)C(=O)N1CCCNCC1,1
CC(=O)O[C@@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C(=O)C=C2[C@@H]4[C@@H](C)[C@H](C)CC[C@]4(C)CC[C@]23C)[C@@]1(C)C(=O)N1CCNCC1,1
CC(=O)O[C@@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C(=O)C=C2[C@@H]4[C@@H](C)[C@H](C)CC[C@]4(C)CC[C@]23C)[C@@]1(C)C(=O)NC1CCNCC1,1
CC(=O)O[C@@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C(=O)C=C2[C@@H]4[C@@H](C)[C@H](C)CC[C@]4(C)CC[C@]23C)[C@@]1(C)C(=O)NCCN,1
CC(=O)O[C@@H]1CC[C@]2(C)[C@@H]3CC(=O)/C(=C(C)\C=C\C=O)[C@@]3(C)CC[C@H]2[C@@]1(C)C(=O)O,1
CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,1
CC(=O)S[C@H]1O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3,1
CC(=O)c1cc2cc(CCc3cc(NC(=O)c4ccc(CN5CCN(C)CC5)cc4)ccc3C)cnc2[nH]1,1
CC(=O)c1cc2cc(NCc3cc(NC(=O)c4ccc(CN5CCC(N(C)C)C5)c(C(F)(F)F)c4)ccc3C)cnc2[nH]1,1
CC(=O)n1ncc2c1[C@](C)(C(=O)O)[C@@H]1CC[C@]3(C)[C@H](C(=O)C=C4[C@@H]5[C@@H](C)[C@H](C)CC[C@]5(C)CC[C@]43C)[C@@]1(C)C2,1
CC(C)(C)OC(=O)Nc1cccnc1C(=O)Nc1nccs1,1
