SMILES,label
C#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12,1
C/C(=C\C=C\c1ccc2ccc(=O)oc2c1)C1=CC(=O)C(C)(C)O1,1
C/C(=C\COC(=O)NC(C)(C)C)C1=CC(=O)C(C)(C)O1,1
C/C(=C\COC(=O)NC(C)C)C1=CC(=O)C(C)(C)O1,1
C/C(=C\COC(=O)NC1CCCCC1)C1=CC(=O)C(C)(C)O1,1
C/C(=N/N=C(/S)N/N=C(\S)c1ccc(Cl)cc1Cl)C12CC3CC(CC(C3)C1)C2,1
C/C(=N/N=C(\N)S)C12CC3CC(CC(C3)C1)C2,1
C1CCN(CCN2CCCCC2C23CC4CC(CC(C4)C2)C3)CC1,1
C=C(C)CN1Cc2cccc3nc(S)n(c23)CC1C,1
C=C(C)[C@@H]1CC[C@]2(C(=O)NCCCCCC(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1
C=C(C)[C@@H]1CC[C@]2(C(=O)NCCCCCCCCCCC(=O)O)CC[C@]3(C)[C@H](CCC4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1
C=C(C)[C@@H]1CC[C@]2(C(=O)NCCCCCCCCCCC(=O)O)CC[C@]3(C)[C@H](CCC4[C@@]5(C)CC[C@@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1
C=C(C)[C@@H]1CC[C@]2(C(=O)NCCCCCCCCCCC(=O)O)CC[C@]3(C)[C@H](CCC4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1
C=C(C)[C@@H]1CC[C@]2(C(=O)NCCCCCCCCCCC(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1
C=C(C)[C@@H]1CC[C@]2(C(=O)N[C@@H](CC(C)C)C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1
C=C(CN1CCCC1)[C@@H]1CC[C@]2(C(=O)NCCCCCCCCCCC(=O)O)CC[C@]3(C)[C@H](CCC4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1
C=C(CNC(C)=O)[C@@H]1CC[C@]2(C(=O)NCCCCCCCCCCC(=O)O)CC[C@]3(C)[C@H](CCC4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1
C=C(CO)[C@@H]1CC[C@]2(C(=O)NCCCCCCCCCCC(=O)O)CC[C@]3(C)[C@H](CCC4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1
C=C(CSCC(=O)O)[C@@H]1CC[C@]2(C(=O)NCCCCCCCCCCC(=O)O)CC[C@]3(C)[C@H](CCC4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1
C=C(CSCCN(CC)CC)[C@@H]1CC[C@]2(C(=O)NCCCCCCCCCCC(=O)O)CC[C@]3(C)[C@H](CCC4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1
C=C(CSCCO)[C@@H]1CC[C@]2(C(=O)NCCCCCCCCCCC(=O)O)CC[C@]3(C)[C@H](CCC4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1
C=C1C(n2ccc(N)nc2=O)O[C@H](CO)[C@@H]1O,1
C=C1CN(S(=O)(=O)c2ccc(C)cc2)CCCN(CC2CCCCC2)CCCN(S(=O)(=O)c2cccc3c(N(C)C)cccc23)C1,1
C=C1CN(S(=O)(=O)c2ccc(C)cc2)CCCN(Cc2ccccc2)CCCN(S(=O)(=O)c2cccc3c(N(C)C)cccc23)C1,1
C=C1CN(S(=O)(=O)c2ccc(OC)cc2)CCCN(CCC(C)C)CCCN(S(=O)(=O)c2ccc(OC)cc2)C1,1
C=C1CN(S(=O)(=O)c2ccc(OC)cc2)CCCN(Cc2ccccc2)CCCN(S(=O)(=O)c2ccc(OC)cc2)C1,1
C=C1CN(S(=O)(=O)c2ccc(OC)cc2)CCCNCCCN(S(=O)(=O)c2ccc(OC)cc2)C1,1
C=C1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(S)nc(N)nc21,1
