SMILES,label
C=C1CC[C@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC[C@H]5C[C@@H](O)C[C@@H](O[C@@H]6O[C@H](C)[C@H](O)[C@H](O)[C@H]6O)[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,1
C=C1CC[C@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)C[C@@H](O[C@@H]6O[C@H](C)[C@H](O)[C@H](O)[C@H]6O)[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,1
C=C1CC[C@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC[C@H]5[C@H](O)[C@@H](O)C[C@@H](O[C@@H]6O[C@H](C)[C@H](O)[C@H](O)[C@H]6O)[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,1
CC1CN(C)CCC1CCC(C)[C@H]1CC[C@H]2[C@@]34CC[C@]5(C[C@H](N(C)C)C=CC5=CC3=CC[C@]12C)O4,1
CC1CN(C)CCC1CCC(C)[C@H]1CC[C@H]2[C@@]34CC[C@]5(C[C@H](N(C)C)CC=C5C=C3CC[C@]12C)O4,1
CN(C)[C@@H]1C=CC2=CC3=CC[C@]4(C)[C@@H](c5ccc6ccncc6c5)CC[C@H]4[C@@]34CC[C@]2(C1)O4,1
CN(C)[C@@H]1CC=C2C=C3CC[C@]4(C)[C@@H](c5ccc6ccncc6c5)CC[C@H]4[C@@]34CC[C@]2(C1)O4,1
CN(C)[C@H]1C[C@@]23CC[C@@]4(O2)C(=CC3=C[C@@H]1O)CC[C@]1(C)[C@@H](c2ccc3ccncc3c2)CC[C@@H]41,1
CN(C)[C@H]1C[C@@]23CC[C@@]4(O2)C(=CC[C@]2(C)[C@@H](c5cccc6ccncc56)CC[C@@H]42)C=C3[C@@H](O)[C@@H]1O,1
COc1cc2nccc(Oc3ccc4c(C(=O)Nc5ccc(Cl)cc5)cccc4c3)c2cc1OC,1
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](C)(C(C)=O)C[C@]3(C)OC1CC(NC(=O)OCCS(=O)(=O)c2ccccc2)C(O)C(C)O1,1
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,1
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,1
C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC[C@H]5C[C@@H](O)C[C@@H](O[C@@H]6O[C@H](C)[C@H](O)[C@H](O)[C@H]6O)[C@]5(C)[C@H]4CC[C@@]32C)O[C@@]12CC[C@@H](C)CO2,1
C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)C[C@@H](O[C@@H]6O[C@H](C)[C@H](O)[C@H](O)[C@H]6O)[C@]5(C)[C@H]4CC[C@@]32C)O[C@@]12CC[C@@H](C)CO2,1
C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC[C@H]5[C@H](O)[C@@H](O)C[C@@H](O[C@@H]6O[C@H](C)[C@H](O)[C@H](O)[C@H]6O)[C@]5(C)[C@H]4CC[C@@]32C)O[C@@]12CC[C@@H](C)CO2,1
C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC[C@H]5[C@H](O)[C@H](O)C[C@@H](O[C@@H]6O[C@H](C)[C@H](O)[C@H](O)[C@H]6O)[C@]5(C)[C@H]4CC[C@@]32C)O[C@@]12CC[C@@H](C)CO2,1
Cc1cnccc1CCC(C)[C@H]1CC[C@H]2[C@@]34CC[C@]5(C[C@H](N(C)C)CC=C5C=C3CC[C@]12C)O4,1
Nc1ccn([C@@H]2C=C[C@H](P(=O)(O)O)O[C@@H]2CO)c(=O)n1,1
O=C(OCCS(=O)(=O)c1ccccc1)N1c2ccc(OCCO)cc2[C@@]23O[C@]24CCC[C@H]3C#C/C=C\C#C[C@H]14,1
C=C1CC[C@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC[C@H]5[C@H](O)[C@H](O)C[C@@H](O[C@@H]6O[C@H](C)[C@H](O)[C@H](O)[C@H]6O)[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,0
CC1OC(P(=O)(O)O)=CCC1n1ccc(N)nc1=O,0
CC1OC(P(=O)(O)O)C=CC1n1ccc(N)nc1=O,0
Nc1ccn(C2CCC(P(=O)(O)O)OC2CO)c(=O)n1,0
Nc1ccn([C@@H]2CC=C(P(=O)(O)O)O[C@@H]2CO)c(=O)n1,0
Nc1ncnc2c1ncn2C1CC=C(P(=O)(O)O)OC1CO,0
COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)[C@H]4CCCC[C@@H]43)nc(N)c2cc1OC,1
Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1,1
C[C@@H](COC(=O)N1c2ccccc2[C@@]23O[C@]24CCC[C@@H]3C#C/C=C\C#C[C@H]14)S(=O)(=O)c1ccccc1,0
