SMILES,label
C#CC=C(c1cc(OC)cc(OC)c1)c1ccc(OC)c(OC)c1,1
C#CCC(C)(CN)c1cccc(-c2ccnc3[nH]ncc23)c1,1
C/C(=C\CCP(=O)(OCOC(=O)C(C)(C)C)OCOC(=O)C(C)(C)C)CO,1
C/C(=C\COP(=O)(O)OP(=O)(O)O)CO,1
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](SCCN(C)C)C(=O)N(C)[C@@H](CC(C)(C)O)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,1
C/N=C/C(=O)c1ccc(Cn2c(C)cc(OCc3ccc(F)cc3F)c(Br)c2=O)cc1,1
C/N=C/C(=O)c1cccc(Cn2c(C)cc(OCc3ccc(F)cc3F)c(Br)c2=O)c1,1
C=C(Br)C(=O)Nc1ccc(/C=C/C(=O)Nc2cc(OC)c(OC)c(OC)c2)cc1,1
C=C(Br)C(=O)Nc1ccc2c(c1)cc(C(=O)NCCNC(=O)c1cc(OCC3(c4ccccc4)CC(=C)C(=O)O3)nn1C)n2C,1
C=C(Br)C(=O)Nc1ccc2oc(C(=O)NCCNC(=O)c3cc(OCC4(c5ccccc5)CC(=C)C(=O)O4)nn3C)cc2c1,1
C=C(Br)C(=O)Nc1ccc2sc(C(=O)NCCNC(=O)c3cc(OCC4(c5ccc(-c6ccccc6)cc5)CC(=C)C(=O)O4)nn3C)cc2c1,1
C=C(Br)C(=O)Nc1ccc2sc(C(=O)NCCNC(=O)c3cc(OCC4(c5ccc(Cl)cc5)CC(=C)C(=O)O4)nn3C)cc2c1,1
C=C(Br)C(=O)Nc1cccc(/C=C/C(=O)Nc2ccc(N3CCOCC3)cc2)c1,1
C=C(C)CC(N)C(=O)NS(=O)(=O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,1
C=C(c1cc(OC)cc(OC)c1)c1ccc(OC)c(N)c1,1
C=C(c1cc(OC)cc(OC)c1)c1ccc(OC)c(O)c1,1
C=C(c1cc(OC)cc(OC)c1)c1ccc(OC)c(OC)c1,1
C=C(c1ccc(OC)c(N)c1)c1ccc(OC)c(OCC)c1,1
C=C(c1ccc(OC)c(O)c1)c1ccc(OC)c(OCC)c1,1
C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O,1
C=C1/C(=C\C=C2/CCC[C@]3(C)C(C4(C/C=C/C(O)(C(F)(F)F)C(F)(F)F)CC4)=CC[C@@H]23)C[C@@H](O)C[C@@H]1F,1
