SMILES,label
CCOC(=O)/C(=C/c1c(-c2ccccc2)[nH]c2ccccc12)C(=O)c1ccc([N+](=O)[O-])cc1,1
CCOC(=O)/C(=C\c1c(-c2ccccc2)[nH]c2ccccc12)C(C)=O,1
CCOC(=O)C1(N)CSC2=C1C(=O)c1cccnc1C2=O,1
CCOC(=O)C1=CC2C(=O)c3cccnc3C(=O)C2C(c2ccc(C)cc2)=N1,1
CCOC(=O)C1=CC2C(=O)c3cccnc3C(=O)C2C(c2ccc(OC)cc2)=N1,1
CCOC(=O)C1=CC2C(=O)c3cccnc3C(=O)C2C(c2ccc([N+](=O)[O-])cc2)=N1,1
CCOC(=O)C1=CC2C(=O)c3cccnc3C(=O)C2C(c2ccccc2)=N1,1
CCOC(=O)C1=CC2C(=O)c3ncccc3C(=O)C2C(c2ccc(Br)cc2)=N1,1
CCOC(=O)C1=CC2C(=O)c3ncccc3C(=O)C2C(c2ccc(C)cc2)=N1,1
CCOC(=O)C1=CC2C(=O)c3ncccc3C(=O)C2C(c2ccc(Cl)cc2)=N1,1
CCOC(=O)C1=CC2C(=O)c3ncccc3C(=O)C2C(c2ccc(N(C)C)cc2)=N1,1
CCOC(=O)C1=CC2C(=O)c3ncccc3C(=O)C2C(c2ccc(OC)cc2)=N1,1
CCOC(=O)C1=CC2C(=O)c3ncccc3C(=O)C2C(c2ccc([N+](=O)[O-])cc2)=N1,1
CCOC(=O)C1=CC2C(=O)c3ncccc3C(=O)C2C(c2ccccc2)=N1,1
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,1
COC(=O)c1nn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1I,1
COCCOC(=O)/C(C#N)=C/c1c(-c2ccccc2)[nH]c2ccccc12,1
COc1cc(-c2cc(CN3CC4CCC(C3)N4Cc3ccnc(-c4cc(OC)c(OC)c(OC)c4)c3)ccn2)cc(OC)c1OC,1
COc1cc(/C=N\c2nsc3ccccc23)ccc1O,1
COc1ccc(-c2[nH]c3ccc(OC)cc3c2/C=C(\C#N)S(=O)(=O)c2ccccc2)cc1,1
COc1ccc(-c2[nH]c3ccccc3c2/C=C(\C#N)S(=O)(=O)c2ccccc2)cc1,1
COc1ccc(-c2cc(CN3CC4CCC(C3)N4Cc3ccnc(-c4ccc(OC)cc4)c3)ccn2)cc1,1
COc1ccc2[nH]c(-c3ccccc3)c(/C=C(\C#N)S(=O)(=O)c3ccccc3)c2c1,1
COc1ccc2c(c1)c(N=O)c1c3ccccc3nnn21,1
COc1cccc(/C=N\c2nsc3ccccc23)c1O,1
Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,1
Cc1cc(C)c2oc3cc(=O)c4ncccc4c-3nc2c1,1
Cc1cc2nc3c4cccnc4c(=O)cc-3oc2cc1C,1
Cc1ccc(C)c2oc3cc(=O)c4ncccc4c-3nc12,1
Cc1ccc2nc3c4cccnc4c(=O)cc-3oc2c1C,1
Cc1ccc2nnn3c4ccccc4c(N=O)c3c2c1,1
Cc1ccc2snc(/N=C\c3ccccc3Cl)c2c1,1
Cc1ccc2snc(/N=C\c3ccccc3O)c2c1,1
Cc1noc(-c2nn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)cc2I)n1,1
Clc1cccc(/C=N\c2nsc3ccccc23)c1,1
N#C/C(=C\c1c(-c2ccccc2)[nH]c2ccccc12)C(=O)c1ccc(Cl)cc1,1
N#C/C(=C\c1c(-c2ccccc2)[nH]c2ccccc12)C(=O)c1cccs1,1
O=Nc1c2cc(Cl)ccc2n2nnc3ccccc3c12,1
O=Nc1c2ccccc2n2nnc3cc(Cl)ccc3c12,1
